Progeny Sire Dam Phen
1149 971 1016 +0.353175
1150 891 733 +2.643697
1151 891 818 +1.336989
1152 891 994 +0.133857
1153 891 847 -0.020764
1154 891 629 +1.691060
1155 891 629 +1.956914
1156 864 791 +0.405350
1157 864 1063 +0.197067
1158 864 899 -0.853939
1159 864 1050 +1.310274
1160 864 947 -0.801675
1161 910 842 +0.898009
1162 910 941 -0.525019
1163 910 846 +0.608155
1164 910 637 -0.248388
1165 910 925 +0.575664
1166 935 729 +2.553453
1167 935 542 +0.069147
1168 935 880 +1.134264
1169 935 565 +0.964311
1170 935 771 -1.036060
1171 827 907 -0.403336
1172 827 1041 -0.490905
1173 827 1062 +0.772909
1174 827 543 +1.531092
1175 827 650 +0.820583
